,newid,year,franchiseid_clean,bank,pp_type,latitud,longitud,province,district_str,matching_accuracy,num_transac,PROVINCE,PROVINCE_0,bank_district,counter,dup,bank_cat,payment_method,start_date,n_beneficiaries,BVS_district,_merge,BVS_group,start_date_pp,end_date_pp,treatment_dt,pp_active
940,607.0,2015,,ALFALAH,ATM,31.52407836914063,74.35511779785156,,LAHORE,4.0,,,Punjab,HBL,9298.0,0.0,2.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
943,607.0,2018,0288,ALFALAH,ATM,31.52407836914063,74.35511779785156,Punjab,LAHORE,4.0,243.0,Punjab,Punjab,HBL,9298.0,0.0,2.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
1315,1045.0,2015,,ALFALAH,ATM,31.46973991394043,74.23377227783203,,LAHORE,4.0,,,Punjab,HBL,9298.0,0.0,2.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
1318,1045.0,2018,0762,ALFALAH,ATM,31.46973991394043,74.23377227783203,Punjab,LAHORE,4.0,2.0,Punjab,Punjab,HBL,9298.0,0.0,2.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
2695,1873.0,2015,3541,ALFALAH,ATM,36.30881500244141,74.62137603759766,Northern Areas,GILGIT,3.0,4061.0,Northern Areas,Northern Areas,SUMMIT,550.0,0.0,4.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,1.0
2698,1873.0,2018,3541,ALFALAH,ATM,36.30881500244141,74.62137603759766,Northern Areas,GILGIT,3.0,3252.0,Northern Areas,Northern Areas,SUMMIT,550.0,0.0,4.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
2810,1896.0,2015,3761,ALFALAH,ATM,31.347665786743164,69.49546813964844,Baluchistan,ZHOB,4.0,4757.0,Baluchistan,Baluchistan,TAMEER,978.0,0.0,5.0,BVS,2017-03-25,6843.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,1.0
2813,1896.0,2018,3761,ALFALAH,ATM,31.347665786743164,69.49546813964844,Baluchistan,ZHOB,4.0,1240.0,Baluchistan,Baluchistan,TAMEER,978.0,0.0,5.0,BVS,2017-03-25,6843.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
2820,1898.0,2015,3781,ALFALAH,ATM,28.54838943481445,68.22042846679688,Baluchistan,NASIRABAD/TUMBO,3.0,3017.0,Baluchistan,Baluchistan,UBL,2772.0,0.0,6.0,BVS,2017-12-25,11285.0,1.0,matched (3),3.0,2015-07-01,2016-06-30,0.0,1.0
2823,1898.0,2018,,ALFALAH,ATM,28.54838943481445,68.22042846679688,,NASIRABAD/TUMBO,3.0,,,Baluchistan,UBL,2772.0,0.0,6.0,BVS,2017-12-25,11285.0,1.0,matched (3),3.0,2018-07-01,2019-06-30,1.0,0.0
3415,2021.0,2015,,ALFALAH,ATM,31.26028823852539,74.15132904052734,,KASUR,4.0,,,Punjab,ALFALAH,4336.0,1.0,1.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
3418,2021.0,2018,4983,ALFALAH,ATM,31.26028823852539,74.15132904052734,Punjab,KASUR,4.0,41.0,Punjab,Punjab,ALFALAH,4336.0,1.0,1.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
4485,2321.0,2015,,ALFALAH,POS,31.063825607299805,72.95429229736328,,FAISALABAD,3.0,,,Punjab,ALFALAH,10435.0,0.0,1.0,BVS,2017-03-25,70254.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
4488,2321.0,2018,10013837,ALFALAH,POS,31.063825607299805,72.95429229736328,Punjab,FAISALABAD,3.0,1.0,Punjab,Punjab,ALFALAH,10435.0,0.0,1.0,BVS,2017-03-25,70254.0,1.0,matched (3),1.0,2018-07-01,2019-06-30,1.0,1.0
4490,2322.0,2015,,ALFALAH,POS,31.599895477294922,74.39825439453125,,LAHORE,3.0,,,Punjab,HBL,9298.0,0.0,2.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
4493,2322.0,2018,,ALFALAH,POS,31.599895477294922,74.39825439453125,,LAHORE,3.0,,,Punjab,HBL,9298.0,0.0,2.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,0.0
4515,2327.0,2015,,ALFALAH,POS,29.351320266723633,64.69381713867188,,CHAGHI,3.0,,,Baluchistan,ALFALAH,1059.0,0.0,1.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
4518,2327.0,2018,10014108,ALFALAH,POS,29.351320266723633,64.69381713867188,Baluchistan,CHAGHI,3.0,617.0,Baluchistan,Baluchistan,ALFALAH,1059.0,0.0,1.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,1.0
4560,2336.0,2015,,ALFALAH,POS,24.65593910217285,68.83712005615234,,BADIN,3.0,,,Sind,ALFALAH,4542.0,1.0,1.0,,,,,master only (1),,2015-07-01,2016-06-30,0.0,0.0
4563,2336.0,2018,,ALFALAH,POS,24.65593910217285,68.83712005615234,,BADIN,3.0,,,Sind,ALFALAH,4542.0,1.0,1.0,,,,,master only (1),,2018-07-01,2019-06-30,0.0,0.0
4670,2359.0,2015,,ALFALAH,POS,30.9043025970459,73.04043579101562,,FAISALABAD,3.0,,,Punjab,ALFALAH,10435.0,0.0,1.0,BVS,2017-03-25,70254.0,1.0,matched (3),1.0,2015-07-01,2016-06-30,0.0,0.0
