,latitud,longitud,year,matching_accuracy
940,31.52407836914063,74.35511779785156,2015,4.0
943,31.52407836914063,74.35511779785156,2018,4.0
1315,31.46973991394043,74.23377227783203,2015,4.0
1318,31.46973991394043,74.23377227783203,2018,4.0
2695,36.30881500244141,74.62137603759766,2015,3.0
2698,36.30881500244141,74.62137603759766,2018,3.0
2810,31.347665786743164,69.49546813964844,2015,4.0
2813,31.347665786743164,69.49546813964844,2018,4.0
2820,28.54838943481445,68.22042846679688,2015,3.0
2823,28.54838943481445,68.22042846679688,2018,3.0
3415,31.26028823852539,74.15132904052734,2015,4.0
3418,31.26028823852539,74.15132904052734,2018,4.0
4485,31.063825607299805,72.95429229736328,2015,3.0
4488,31.063825607299805,72.95429229736328,2018,3.0
4490,31.599895477294922,74.39825439453125,2015,3.0
4493,31.599895477294922,74.39825439453125,2018,3.0
4515,29.351320266723633,64.69381713867188,2015,3.0
4518,29.351320266723633,64.69381713867188,2018,3.0
4560,24.65593910217285,68.83712005615234,2015,3.0
4563,24.65593910217285,68.83712005615234,2018,3.0
4670,30.9043025970459,73.04043579101562,2015,3.0
4673,30.9043025970459,73.04043579101562,2018,3.0
4705,31.344541549682617,73.42086029052734,2015,3.0
4708,31.344541549682617,73.42086029052734,2018,3.0
4795,31.381214141845703,73.08589172363281,2015,3.0
4798,31.381214141845703,73.08589172363281,2018,3.0
4890,30.96638298034668,72.48031616210938,2015,3.0
4893,30.96638298034668,72.48031616210938,2018,3.0
4965,28.025920867919922,69.32275390625,2015,3.0
4968,28.025920867919922,69.32275390625,2018,3.0
5035,24.893617630004883,67.06491088867188,2015,3.0
5038,24.893617630004883,67.06491088867188,2018,3.0
5045,27.81013298034668,66.61070251464844,2015,4.0
5048,27.81013298034668,66.61070251464844,2018,4.0
5135,32.057952880859375,73.07113647460938,2015,3.0
5138,32.057952880859375,73.07113647460938,2018,3.0
5190,27.81013298034668,66.61070251464844,2015,4.0
5193,27.81013298034668,66.61070251464844,2018,4.0
5390,27.813581466674805,69.10289764404297,2015,3.0
5393,27.813581466674805,69.10289764404297,2018,3.0
5450,27.725767135620117,68.82907104492188,2015,4.0
5453,27.725767135620117,68.82907104492188,2018,4.0
5510,28.312578201293945,70.12574005126953,2015,3.0
5513,28.312578201293945,70.12574005126953,2018,3.0
5515,28.312578201293945,70.12574005126953,2015,3.0
5518,28.312578201293945,70.12574005126953,2018,3.0
5785,28.940629959106445,70.94959259033203,2015,3.0
5788,28.940629959106445,70.94959259033203,2018,3.0
5790,27.72515869140625,68.8299560546875,2015,4.0
5793,27.72515869140625,68.8299560546875,2018,4.0
5960,31.565872192382812,72.64351654052734,2015,3.0
5963,31.565872192382812,72.64351654052734,2018,3.0
6000,30.722761154174805,72.64549255371094,2015,3.0
6003,30.722761154174805,72.64549255371094,2018,3.0
6005,31.282649993896484,72.33184051513672,2015,3.0
6008,31.282649993896484,72.33184051513672,2018,3.0
6165,29.89932632446289,69.52603149414062,2015,4.0
6168,29.89932632446289,69.52603149414062,2018,4.0
6170,29.845067977905273,71.58135986328125,2015,3.0
6173,29.845067977905273,71.58135986328125,2018,3.0
6250,28.242643356323242,69.18392944335938,2015,3.0
6253,28.242643356323242,69.18392944335938,2018,3.0
6310,27.52579116821289,68.75506591796875,2015,4.0
6313,27.52579116821289,68.75506591796875,2018,4.0
6540,27.5868110656738,68.86304473876953,2015,3.0
6543,27.5868110656738,68.86304473876953,2018,3.0
6545,27.670473098754883,68.88433074951172,2015,3.0
6548,27.670473098754883,68.88433074951172,2018,3.0
6550,27.670473098754883,68.88433074951172,2015,3.0
6553,27.670473098754883,68.88433074951172,2018,3.0
6610,28.021820068359375,69.5475082397461,2015,3.0
6613,28.021820068359375,69.5475082397461,2018,3.0
6670,28.021820068359375,69.5475082397461,2015,3.0
6673,28.021820068359375,69.5475082397461,2018,3.0
6690,28.551742553710938,70.46754455566406,2015,3.0
6693,28.551742553710938,70.46754455566406,2018,3.0
6750,28.021217346191406,69.54607391357422,2015,3.0
